day,kind,a,b,corr
4,returns,ROBOT_IRONING,ROBOT_LAUNDRY,-0.017543330573751768
4,returns,ROBOT_IRONING,ROBOT_IRONING,1.0
pooled,returns,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
pooled,returns,ROBOT_VACUUMING,ROBOT_MOPPING,-0.003857328566351018
pooled,returns,ROBOT_VACUUMING,ROBOT_DISHES,0.005338003558147565
pooled,returns,ROBOT_VACUUMING,ROBOT_LAUNDRY,-0.001948475113992996
pooled,returns,ROBOT_VACUUMING,ROBOT_IRONING,0.01250764500668874
pooled,returns,ROBOT_MOPPING,ROBOT_VACUUMING,-0.003857328566351018
pooled,returns,ROBOT_MOPPING,ROBOT_MOPPING,1.0
pooled,returns,ROBOT_MOPPING,ROBOT_DISHES,-0.006345043347143758
pooled,returns,ROBOT_MOPPING,ROBOT_LAUNDRY,-0.009394902102628494
pooled,returns,ROBOT_MOPPING,ROBOT_IRONING,-0.00024056566627998085
pooled,returns,ROBOT_DISHES,ROBOT_VACUUMING,0.005338003558147565
pooled,returns,ROBOT_DISHES,ROBOT_MOPPING,-0.006345043347143758
pooled,returns,ROBOT_DISHES,ROBOT_DISHES,1.0
pooled,returns,ROBOT_DISHES,ROBOT_LAUNDRY,0.0012511266362193517
pooled,returns,ROBOT_DISHES,ROBOT_IRONING,0.00040573222270858054
pooled,returns,ROBOT_LAUNDRY,ROBOT_VACUUMING,-0.001948475113992996
pooled,returns,ROBOT_LAUNDRY,ROBOT_MOPPING,-0.009394902102628494
pooled,returns,ROBOT_LAUNDRY,ROBOT_DISHES,0.0012511266362193517
pooled,returns,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
pooled,returns,ROBOT_LAUNDRY,ROBOT_IRONING,-0.00821041673277878
pooled,returns,ROBOT_IRONING,ROBOT_VACUUMING,0.01250764500668874
pooled,returns,ROBOT_IRONING,ROBOT_MOPPING,-0.00024056566627998085
pooled,returns,ROBOT_IRONING,ROBOT_DISHES,0.00040573222270858054
pooled,returns,ROBOT_IRONING,ROBOT_LAUNDRY,-0.00821041673277878
pooled,returns,ROBOT_IRONING,ROBOT_IRONING,1.0
2,levels,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
2,levels,ROBOT_VACUUMING,ROBOT_MOPPING,-0.017496064198688235
2,levels,ROBOT_VACUUMING,ROBOT_DISHES,0.2793498190095926
2,levels,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.5344550144230654
2,levels,ROBOT_VACUUMING,ROBOT_IRONING,-0.45589207426898554
2,levels,ROBOT_MOPPING,ROBOT_VACUUMING,-0.017496064198688235
2,levels,ROBOT_MOPPING,ROBOT_MOPPING,1.0
2,levels,ROBOT_MOPPING,ROBOT_DISHES,-0.08002470316685788
2,levels,ROBOT_MOPPING,ROBOT_LAUNDRY,0.096710829206206
2,levels,ROBOT_MOPPING,ROBOT_IRONING,-0.2686399399414879
2,levels,ROBOT_DISHES,ROBOT_VACUUMING,0.2793498190095926
2,levels,ROBOT_DISHES,ROBOT_MOPPING,-0.08002470316685788
2,levels,ROBOT_DISHES,ROBOT_DISHES,1.0
2,levels,ROBOT_DISHES,ROBOT_LAUNDRY,-0.10181198761502676
2,levels,ROBOT_DISHES,ROBOT_IRONING,0.18922494418583724
2,levels,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.5344550144230654
2,levels,ROBOT_LAUNDRY,ROBOT_MOPPING,0.096710829206206
2,levels,ROBOT_LAUNDRY,ROBOT_DISHES,-0.10181198761502676
2,levels,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
2,levels,ROBOT_LAUNDRY,ROBOT_IRONING,-0.7651384230327666
2,levels,ROBOT_IRONING,ROBOT_VACUUMING,-0.45589207426898554
2,levels,ROBOT_IRONING,ROBOT_MOPPING,-0.2686399399414879
2,levels,ROBOT_IRONING,ROBOT_DISHES,0.18922494418583724
2,levels,ROBOT_IRONING,ROBOT_LAUNDRY,-0.7651384230327666
2,levels,ROBOT_IRONING,ROBOT_IRONING,1.0
3,levels,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
3,levels,ROBOT_VACUUMING,ROBOT_MOPPING,-0.838169869280862
3,levels,ROBOT_VACUUMING,ROBOT_DISHES,0.2874041729966478
3,levels,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.6074886186072425
3,levels,ROBOT_VACUUMING,ROBOT_IRONING,0.7605257887457274
3,levels,ROBOT_MOPPING,ROBOT_VACUUMING,-0.838169869280862
3,levels,ROBOT_MOPPING,ROBOT_MOPPING,1.0
3,levels,ROBOT_MOPPING,ROBOT_DISHES,-0.4203030452768343
3,levels,ROBOT_MOPPING,ROBOT_LAUNDRY,-0.7279804558948499
3,levels,ROBOT_MOPPING,ROBOT_IRONING,-0.9129623056436328
3,levels,ROBOT_DISHES,ROBOT_VACUUMING,0.2874041729966478
3,levels,ROBOT_DISHES,ROBOT_MOPPING,-0.4203030452768343
3,levels,ROBOT_DISHES,ROBOT_DISHES,1.0
3,levels,ROBOT_DISHES,ROBOT_LAUNDRY,0.1256001617554019
3,levels,ROBOT_DISHES,ROBOT_IRONING,0.4624873263801764
3,levels,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.6074886186072425
3,levels,ROBOT_LAUNDRY,ROBOT_MOPPING,-0.7279804558948499
3,levels,ROBOT_LAUNDRY,ROBOT_DISHES,0.1256001617554019
3,levels,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
3,levels,ROBOT_LAUNDRY,ROBOT_IRONING,0.7197146772722398
3,levels,ROBOT_IRONING,ROBOT_VACUUMING,0.7605257887457274
3,levels,ROBOT_IRONING,ROBOT_MOPPING,-0.9129623056436328
3,levels,ROBOT_IRONING,ROBOT_DISHES,0.4624873263801764
3,levels,ROBOT_IRONING,ROBOT_LAUNDRY,0.7197146772722398
3,levels,ROBOT_IRONING,ROBOT_IRONING,1.0
4,levels,ROBOT_VACUUMING,ROBOT_VACUUMING,1.0
4,levels,ROBOT_VACUUMING,ROBOT_MOPPING,0.2922691920097587
4,levels,ROBOT_VACUUMING,ROBOT_DISHES,-0.29383831752378076
4,levels,ROBOT_VACUUMING,ROBOT_LAUNDRY,0.035057091318247004
4,levels,ROBOT_VACUUMING,ROBOT_IRONING,0.23852016773738727
4,levels,ROBOT_MOPPING,ROBOT_VACUUMING,0.2922691920097587
4,levels,ROBOT_MOPPING,ROBOT_MOPPING,1.0
4,levels,ROBOT_MOPPING,ROBOT_DISHES,-0.7342335702087808
4,levels,ROBOT_MOPPING,ROBOT_LAUNDRY,-0.4787646391293531
4,levels,ROBOT_MOPPING,ROBOT_IRONING,0.4307395560369091
4,levels,ROBOT_DISHES,ROBOT_VACUUMING,-0.29383831752378076
4,levels,ROBOT_DISHES,ROBOT_MOPPING,-0.7342335702087808
4,levels,ROBOT_DISHES,ROBOT_DISHES,1.0
4,levels,ROBOT_DISHES,ROBOT_LAUNDRY,0.37999373874730963
4,levels,ROBOT_DISHES,ROBOT_IRONING,-0.3457422659981795
4,levels,ROBOT_LAUNDRY,ROBOT_VACUUMING,0.035057091318247004
4,levels,ROBOT_LAUNDRY,ROBOT_MOPPING,-0.4787646391293531
4,levels,ROBOT_LAUNDRY,ROBOT_DISHES,0.37999373874730963
4,levels,ROBOT_LAUNDRY,ROBOT_LAUNDRY,1.0
4,levels,ROBOT_LAUNDRY,ROBOT_IRONING,-0.4915837099100508
4,levels,ROBOT_IRONING,ROBOT_VACUUMING,0.23852016773738727
4,levels,ROBOT_IRONING,ROBOT_MOPPING,0.4307395560369091
4,levels,ROBOT_IRONING,ROBOT_DISHES,-0.3457422659981795
4,levels,ROBOT_IRONING,ROBOT_LAUNDRY,-0.4915837099100508
4,levels,ROBOT_IRONING,ROBOT_IRONING,1.0
