session_id,total_pnl,HYDROGEL_PACK_pnl,VELVETFRUIT_EXTRACT_pnl,VEV_4000_pnl,VEV_4500_pnl,VEV_5000_pnl,VEV_5100_pnl,VEV_5200_pnl,VEV_5300_pnl,VEV_5400_pnl,VEV_5500_pnl,VEV_6000_pnl,VEV_6500_pnl,HYDROGEL_PACK_position,VELVETFRUIT_EXTRACT_position,VEV_4000_position,VEV_4500_position,VEV_5000_position,VEV_5100_position,VEV_5200_position,VEV_5300_position,VEV_5400_position,VEV_5500_position,VEV_6000_position,VEV_6500_position,HYDROGEL_PACK_cash,VELVETFRUIT_EXTRACT_cash,VEV_4000_cash,VEV_4500_cash,VEV_5000_cash,VEV_5100_cash,VEV_5200_cash,VEV_5300_cash,VEV_5400_cash,VEV_5500_cash,VEV_6000_cash,VEV_6500_cash,total_slope_per_step,total_r2,HYDROGEL_PACK_slope_per_step,HYDROGEL_PACK_r2,VELVETFRUIT_EXTRACT_slope_per_step,VELVETFRUIT_EXTRACT_r2,VEV_4000_slope_per_step,VEV_4000_r2,VEV_4500_slope_per_step,VEV_4500_r2,VEV_5000_slope_per_step,VEV_5000_r2,VEV_5100_slope_per_step,VEV_5100_r2,VEV_5200_slope_per_step,VEV_5200_r2,VEV_5300_slope_per_step,VEV_5300_r2,VEV_5400_slope_per_step,VEV_5400_r2,VEV_5500_slope_per_step,VEV_5500_r2,VEV_6000_slope_per_step,VEV_6000_r2,VEV_6500_slope_per_step,VEV_6500_r2
10,28235.386970514108,17570.175761193037,4763.203050673503,4581.531166453373,-104.17104543586481,0,-23.162866186593533,838.9288138850548,712.6381640713932,-89.6505175079175,-14.105556631871764,0,0,48,-33,38,1,0,1,-27,-21,16,-15,0,0,-448402,181090,-43745,-855,0,-245,2653,966,-311,67,0,0,2.1628553570709825,0.8232522842919803,1.5127586282725,0.816053673852241,0.32214817610862734,0.25612614439939807,0.249053219010936,0.3332084246896814,-0.005490635597642286,0.33094977028397704,0,0,-0.0005898267441761349,0.17850072656881827,0.04826971892652983,0.34152889107150824,0.04823640411586129,0.46346342838638616,-0.0023684705297225047,0.01374627157473342,-0.009161856491898032,0.43136021201316677,0,0,0,0
11,15236.945355832564,8335.792430182919,4734.433413362305,1829.6491457911034,0,14.308372603544797,0,-157.8874963823564,462.6536644332223,40.55600002652238,-22.56017418469842,0,0,48,80,24,0,-1,0,-22,34,-33,5,0,0,-469821,-417442,-26664,0,334,0,1087,-1766,-780,-51,0,0,2.003459132235152,0.837547671561488,1.0560769179625884,0.6343885738559283,0.6535841486821091,0.8713467653365831,0.24494647921724075,0.596077774434888,0,0,0.007139289755962596,0.4332824421564837,0,0,-0.0014631037020789474,0.0007949113827683334,0.041561290083400836,0.3041483556779377,0.003738993088741189,0.028669863367328765,-0.0021248828528068154,0.1575334548002069,0,0,0,0
12,33890.75914514619,18884.19012444606,6223.483282610192,8596.944052861174,0,0,0,454.02615155578474,-32.62158173435239,-250.92455756206175,15.66167296939345,0,0,77,-15,-76,0,0,0,11,-6,-26,-12,0,0,-762343,86458,97992,0,0,0,-883,380,529,77,0,0,3.359784431160097,0.9291773675456424,2.1942631964449455,0.9073750944441537,0.5695598155865236,0.6833124350731323,0.6036319385266613,0.9309627952814958,0,0,0,0,0,0,0.019859050440742633,0.2541993123769357,-0.009558343055833536,0.3259125203840013,-0.023433058431115195,0.5692386542429649,0.005461831648228673,0.4455798581106529,0,0,0,0
13,20390.17115839734,5705.023235276458,9852.138938063057,4770.980702311077,0,0,0,-106.06773386546536,371.6009599083533,-241.63728286565436,38.13233956951365,0,0,-71,-51,-41,0,0,0,-7,9,-28,-28,0,0,724604,281757,57975,0,0,0,417,-14,724,363,0,0,2.2079007243552464,0.8772219975804778,0.7165537367839285,0.5666603893495674,0.9920227452351207,0.9563792453696753,0.4926989467955122,0.8245357538257584,0,0,0,0,0,0,0.000373335365112763,0.00018446879142521534,0.023631283342300597,0.3489804486285894,-0.02003137682042857,0.3297917340098179,0.0026520536536478317,0.03320555887497207,0,0,0,0
14,32950.770072501015,20981.318906739354,3957.581652613786,5898.795596956246,-41,0,0,466.1477701619899,1348.5850661746003,228.08062345575183,111.2604563992854,0,0,-34,6,-50,0,0,0,10,45,41,8,0,0,355702,-27020,69980,-41,0,0,-819,-2598,-578,-41,0,0,3.2834880518544245,0.9487539706825746,2.216241762363412,0.9722825318549405,0.26848861228782356,0.24083637945318873,0.5438039239041164,0.7011137465936284,-0.004902559810802132,0.5111378421849636,0,0,0,0,0.04294872410704176,0.343283154596492,0.15245683330886758,0.7590054276866716,0.05843795164537376,0.6151979883325427,0.006012804048588049,0.4199695613349562,0,0,0,0
15,29112.619096336126,24951.338863104495,-979.0252056716126,5104.809737030409,-41.63299368868968,-158.24412399169296,24.988944415911305,107.69723397408347,86,68.02854376813309,-51.34190260491258,0,0,-18,-46,-37,-1,-2,-1,-9,0,-30,6,0,0,198741,245830,53082,770,394,218,1120,86,882,-77,0,0,3.365300601418987,0.9613008390124733,2.8194382991159848,0.9774912622829484,0.0039882801449817,0.00007891416599510348,0.5717810784679704,0.932609406971076,-0.007447971608830559,0.6315301858381116,-0.006543013983778178,0.17997544886479086,0.002247633119175549,0.38547874601937543,-0.005886910351837707,0.02495929804192069,0.010451540068407839,0.03566122286077673,-0.013278601409869426,0.17089062188696594,-0.0094497321431435,0.6004411869053212,0,0,0,0
16,24695.513159944305,13624.294175425079,10031.18427453484,1311.4139485863925,0,0,78.45251510855329,-249.45451877063437,-394.99470688926095,261.4258188926473,33.191653056687365,0,0,61,31,39,0,0,-2,11,6,-2,-2,0,0,-586186,-156083,-42559,0,0,303,-671,-465,327,23,0,0,3.0396878787753123,0.9016370249758737,1.7705567804264422,0.8636696758553531,1.292403323394638,0.9353051904964171,0.04485472842919624,0.019341555907185573,0,0,0,0,0.004569575341813029,0.17286005378760225,-0.051373906757322695,0.7363039983956094,-0.05981853965033569,0.7888043901056256,0.03681536061788704,0.8083337954762547,0.0016805569729462604,0.47589712175682924,0,0,0,0
17,50568.69038058227,31209.827880979865,14569.844638287337,5565.654107025992,0,12.721637890466411,0,-729.6010081568692,-167.05958946889132,79.66382946508249,27.638884559280427,0,0,-68,16,42,0,-1,0,7,28,-17,-9,0,0,704215,-68845,-46864,0,273,0,-768,-1719,-16,62,0,0,4.407361895302127,0.9300181389774448,2.273817182761334,0.8347920425075911,1.4868375881124476,0.8823517026647961,0.6640562559926345,0.9556051760067232,0,0,0.006974050494530271,0.3008369272074404,0,0,-0.06722555714296158,0.5515817313014334,0.020369574864291643,0.2229008895985976,0.01654605648876541,0.1880077959622814,0.005986743731102698,0.6727240341836886,0,0,0,0
18,22078.07045491681,20575.050349895515,-1417.6214536724729,4177.40263850999,17.804578769814043,47.85592687993193,-73.99638907058001,-693.6339513882555,-560.2198350842863,90.48482508929939,-85.05623501214507,0,0,4,55,20,-1,-1,1,-2,-4,1,-47,0,0,-20982,-284067,-21638,759,276,-159,-243,-308,58,698,0,0,2.301870082470573,0.908210755780149,2.331754550604427,0.9451415134963896,-0.21101041172849203,0.25194912318749757,0.344165046005783,0.910919359100992,0.002544115463335343,0.3503736333292692,0.0034258190810818982,0.16914821963200433,-0.01194853792834057,0.8130717522323013,-0.0877845202955956,0.8631908921386777,-0.06686911485932857,0.8021163063740786,0.009857936483343604,0.5196509163693575,-0.012264800355651907,0.535582963229098,0,0,0,0
19,14663.184130120244,5736.891173762968,3461.6080509023013,4949.9950913381,0,49.98782432308187,0,232.08614672846988,375.7246514073271,-103.59683546494972,-39.51197287705523,0,0,80,-25,-17,0,-1,0,8,-27,16,-14,0,0,-775790,129326,28089,0,298,0,-1236,1238,-471,72,0,0,1.7276783581695783,0.8071945191512169,0.5852667718911991,0.3502682358653372,0.5182097273808418,0.6628025231927864,0.5124808904878657,0.8549568601669483,0,0,0.005974061433766585,0.6051243884631142,0,0,0.03383152935825483,0.48982450922437853,0.08764950890227145,0.5788139039917869,-0.017714587898741488,0.29238991343635246,0.001980456614138763,0.04975808312358275,0,0,0,0
20,36447.674424527955,18417.134096214882,10917.07859948311,7079.583819897234,-110.73988667388437,36.25350077077297,0,314.0975709139984,-426.9872458698226,185.23746618350924,36.01650360814762,0,0,8,13,15,1,1,0,1,-8,21,-2,0,0,-62623,-56589,-11876,-778,-233,0,249,-427,-944,64,0,0,3.8501884852890482,0.9644321042017805,1.763103788186727,0.9670197141348637,1.3184536649353102,0.817759099265745,0.7614586531324179,0.9865553302707704,-0.005076309898698946,0.299502768682025,-0.00506452771279355,0.22421653496897978,0,0,0.03955351560362172,0.5753297765967033,-0.05293905631867959,0.6700675324848053,0.0262831949447215,0.5645581242451914,0.004415562416461465,0.6303081418083296,0,0,0,0
21,9388.510204377255,-570.8756776108639,1558.2977821833047,7917.617252782431,27,0,0,320.1699040206738,-132.59867518183876,195.92953843112036,72.97007975242889,0,0,-45,37,32,0,0,0,10,-15,-29,-31,0,0,453560,-194763,-33221,27,0,0,-196,621,1397,478,0,0,0.2441655214283564,0.059566396665899475,-0.7336544655750924,0.37404958166091445,0.05021540757947668,0.014860297892071082,0.8843459711998647,0.9415470643828469,0.0028162747139411437,0.32066429896820253,0,0,0,0,0.025059769064490284,0.5202478463998162,-0.0005492193103425838,0.00010619471849396215,0.008418637008324426,0.17072803303471076,0.007513146747711503,0.6460132552639795,0,0,0,0
22,33052.687084377605,20135.500699939206,6538.800091547222,5417.262075409031,0,0,0,-90.60086410308566,725.2381983667906,340.12498634140024,-13.63810312295631,0,0,75,33,76,0,0,0,3,-78,-54,-6,0,0,-730872,-166733,-84880,0,0,0,-490,2063,867,-11,0,0,3.2379579430716707,0.9623309340117987,1.9128344575450489,0.9062899816749944,0.616929177161781,0.9321116699409483,0.6772123355856371,0.932693153524887,0,0,0,0,0,0,-0.021221248514290896,0.20651227170905967,0.02900239547905383,0.04060616940039421,0.0240730172097411,0.25033246832449363,-0.0008721913953134038,0.02808367775145759,0,0,0,0
23,21741.616506489576,8764.535103015194,9422.67536780711,4943.247834507205,-96.02914999584198,4,0,-307.7929002883286,-738.2414995223177,-103.08040927935747,-147.69783975408785,0,0,29,21,16,1,0,0,10,7,27,16,0,0,-280550,-101831,-14940,-718,4,0,-1085,-1358,-294,-88,0,0,1.4978909148536979,0.6781467407088906,0.5603154052742797,0.32058726861538467,0.6896088103783728,0.9013711145535781,0.43722924269523783,0.8895006384940387,-0.016944891298614664,0.8208445122958696,-0.004035824776825835,0.115701163279244,0,0,-0.02162041415769389,0.44553069111897364,-0.11765780602065413,0.6880281177173307,-0.011193878521284544,0.2920289022704135,-0.017809728719130908,0.894731723774993,0,0,0,0
24,31145.140406596045,18827.51523679582,5139.349670707539,6206.101826860871,0,0,-49.06879649084232,328.079878744046,1004.7883334335147,-297.1065143974348,-14.519229057470064,0,0,-32,-80,-16,0,0,-1,7,33,37,4,0,0,334908,416912,27728,0,0,186,-444,-2052,-283,-69,0,0,3.2969316161085183,0.9798193761771158,2.2368319175645293,0.9760168275902736,0.3892683781374858,0.4436810498243099,0.568851633736089,0.9890538120359986,0,0,0,0,-0.0019718959334517772,0.1506641838482278,0.03717112469392179,0.8678639016619074,0.07350785989263034,0.5999252487741991,-0.003197237621976462,0.00440916104330779,-0.0035301643607279732,0.5767249844795331,0,0,0,0
25,24592.757340424712,17286.38130711121,1471.2820392050198,3892.660992002893,0,69.601563017427,0,-112,1428.5530834029832,475.99698114421403,80.28137454096631,0,0,25,65,-51,0,3,0,0,33,-14,-10,0,0,-228194,-339422,69210,0,-1029,0,-112,-1577,1030,59,0,0,2.107620064859253,0.912315688786147,1.7123668395872913,0.9683210686388274,-0.05885570812851865,0.021092403876295983,0.2384093750799194,0.7275019676711283,0,0,0.01791061965646648,0.7832294117049066,0,0,-0.012091738700881755,0.5674800246014239,0.1549416500780414,0.7457098195397854,0.044929913436317616,0.9193884681195802,0.010009113850637227,0.7850024413104306,0,0,0,0
26,10904.485745963902,1072.17681834806,2650.8658832668443,8168.925084424765,0,0,55.83248542558674,-1363.9483983554792,204.8482888006773,81.26659570790189,34.51898834554572,0,0,-43,74,47,0,0,-1,-20,-6,-17,47,0,0,441125,-392480,-54185,0,0,160,2608,317,-23,-698,0,0,-0.04035019083186551,0.0008349403436954036,-0.5611514185079545,0.23904689233899598,0.1294962442864083,0.07315017389027191,0.5540896253247477,0.8966716499760065,0,0,0,0,0.006138183311168337,0.3540154779191491,-0.20417606938145136,0.7652612066028478,0.02833339930057058,0.24445957008374689,0.002040830536625043,0.006435969686634089,0.004879014298025125,0.3745898259970704,0,0,0,0
27,28717.38177719556,14584.667978468584,5518.3895013354195,7277.779671739272,83.91249130249469,0,-33,539.5058089100337,541.1800535664332,198,6.946271873323624,0,0,65,-31,8,-1,0,0,-14,-21,0,-6,0,0,-640234,162465,-3544,836,0,-33,1686,584,198,80,0,0,2.7259023157573026,0.9781913551061772,1.2019221390285033,0.7852273854390159,0.6567820192098704,0.6705759433347159,0.7240079648110037,0.9843033636331258,0.006275879785819091,0.6284241153072367,0,0,-0.008694304794638827,0.6419032907884364,0.06276409353007127,0.44422256380473374,0.07077582912161878,0.5550744122386982,0.009648769081756017,0.13555027494353517,0.002419925983300303,0.4899868026726185,0,0,0,0
28,43697.958289121096,30893.191404430196,6049.57265638141,5427.959286932899,6.805869897109574,0,0,62.58778082051822,1240.1577242180938,-20.323798308567802,38.00736474944388,0,0,-69,70,15,-1,0,0,-6,34,13,-4,0,0,728112,-359836,-13348,722,0,0,842,-1081,-314,16,0,0,4.108690117472427,0.9917556029240907,2.7540277792982573,0.9726063026296804,0.5447256979905757,0.6412874907080316,0.5737416468829085,0.9889671678279627,0.0007188811040373022,0.0659212030764452,0,0,0,0,0.011512521936028247,0.30610521758779236,0.23291502740739353,0.6739951441418597,-0.011472398953146307,0.42418733005301945,0.0025209618063733916,0.3329216079764973,0,0,0,0
29,59333.18902135668,36751.08020255872,12038.030834608282,11219.64899633282,38.76414278666027,0,-19.57739216628724,-178.76209189004317,-398.6692996946774,-79.09825845647347,-38.228112722325065,0,0,40,-3,-47,1,0,-1,17,-16,-1,-21,0,0,-351551,27974,66484,-678,0,228,-1404,1301,-40,32,0,0,5.827504565265228,0.9622620150960248,3.556154286709693,0.949012038238039,1.1743118243302564,0.7563762573630191,1.1105889557596296,0.9306190074305508,0.009835756049798092,0.748999710914418,0,0,0.00045761955273731483,0.05838826046797368,0.004268143064625627,0.021483217717980667,-0.0170845458329092,0.03948100229049168,-0.00728620321834983,0.1946590830269959,-0.003741271150159669,0.6351808043279913,0,0,0,0
30,42939.06015850984,30055.05591105949,7528.584323950679,2718.8870617647626,0,0,205.1481208475144,62.07281096381952,1586.707705459123,789.8510355680436,-7.2468111035897,0,0,64,-13,-41,0,0,-2,1,20,-3,-2,0,0,-619882,75718,62267,0,0,261,-4,-280,736,2,0,0,4.786524807272972,0.9750727446428479,3.409196877333258,0.9627957184959405,0.8967203813616382,0.9434648770446048,0.25484995734599536,0.722311776506306,0,0,0,0,0.02395327074852109,0.765930471758748,0.0077636913677651374,0.25115725050245424,0.09610632453895276,0.6778998778033598,0.09883461083645806,0.8578827808718512,-0.0009003062596050564,0.2057526284878615,0,0,0,0
31,25631.166640059677,17221.347028466407,3929.532160137838,5353.680106856395,0,0,0,37.00599909795574,-886.6978272536116,2.4226462334555094,-26.12347347876159,0,0,-47,-41,35,0,0,0,5,-9,15,2,0,0,479697,221635,-36851,0,0,0,-633,-549,431,-12,0,0,2.572939475004298,0.9279613765162087,1.688864238966154,0.8630767757191037,0.3558775055633892,0.6587672313490569,0.6011322002451045,0.965089739401943,0,0,0,0,0,0,0.0012943289425902708,0.0006923091166804136,-0.08897779070396648,0.732771202265335,0.016607504456973295,0.5345497083558828,-0.0018585124659712528,0.7233080397314532,0,0,0,0
32,31276.686550315462,19092.151084388548,6502.598347314575,5213.809353852017,0,104.2203441795782,0,304.30488253316094,-115.58563089291681,58.33367408516402,116.85449485533519,0,0,-35,-75,1,0,3,0,1,-8,6,-45,0,0,367915,395444,3897,0,-833,0,204,471,-59,329,0,0,2.9227396861335264,0.9320607350961059,2.024827119144076,0.8601376072076617,0.42508657528498334,0.5738868908950173,0.4714345675942226,0.9586029984839731,0,0,0.0025572267063892055,0.05808792408740197,0,0,0.027896903079782955,0.40766455015471426,-0.04083134988627073,0.4754787836481159,0.01081236312232704,0.22269797724385296,0.0009562810880472614,0.00599961109153931,0,0,0,0
33,38921.80153422531,29724.685815356614,3989.5528782595065,3862.276659466217,7.192810572958024,46.7278162464857,0,277.34078503432886,611.7447950272779,318.82590083683186,83.45407342508986,0,0,-20,-76,-49,1,-1,0,2,-19,-29,-11,0,0,231242,405706,68860,-671,321,0,-73,1248,-63,235,0,0,4.4441192484332435,0.9416145025413358,3.2331585376902177,0.9220811914700257,0.5343012379532911,0.6164906745752654,0.5327944003764052,0.9051287910183016,0.00011445719742046822,0.05373366449851887,0.003578656743433773,0.1745206311775031,0,0,0.03568659228617993,0.649841669973089,0.06178543150193654,0.6238633583389461,0.03799437203426419,0.7130425863926904,0.004705562650123891,0.3614747349915218,0,0,0,0
34,23247.188598646066,12986.305043510743,3918.633094037301,6767.569474743417,0,33.21295059790981,-35.954113399751776,-89.42275919983456,-314.7099459189107,-71.88028419950241,53.43513847469566,0,0,76,-47,28,0,1,1,3,9,9,-17,0,0,-746737,246705,-29525,0,-139,-208,-321,-820,-122,74,0,0,2.286717797128478,0.8845426793804475,1.080113690509221,0.7551371275306475,0.6709889269347753,0.5753867012814885,0.6138961251221013,0.9690074439439326,0,0,0.005311136919046748,0.4466361631094309,-0.0028772540130565048,0.16911280300701592,-0.013778426599415193,0.661999676279801,-0.06378962359552158,0.7782085762492366,-0.010757935676812073,0.14855733128709345,0.0076111575281056785,0.6811782359323421,0,0,0,0
35,38801.9269520557,21204.879722434795,3349.7721848447254,13758.774055732552,146.4569094260404,0,0,307.9508954168171,155.19073644787534,-48.86917520698944,-72.22837704011809,0,0,-67,17,-35,1,0,0,-4,-12,-14,4,0,0,681861,-85698,52433,-782,0,0,629,872,121,-20,0,0,4.121406587551053,0.9508389557432821,2.0658006368924418,0.9145674609955935,0.2074622834613769,0.15661976946761183,1.7976221779703117,0.9423245670339673,0.013949198143411737,0.7452907826883136,0,0,0,0,0.0612906985705504,0.4786176713503072,-0.009135276086288892,0.016326831838486263,-0.009000781718539002,0.24027496539477422,-0.0065823496821722765,0.8926884540670645,0,0,0,0
36,10376.809634000854,-5737.1799733972875,9040.413049079973,6269.690186374739,18.13742819342724,-21.624041899255758,-130,-151.85515877601074,496.23304260240093,623.850051313502,-30.854949490635263,0,0,69,-36,5,-1,-1,0,9,-28,-29,-5,0,0,-662381,196267,258,910,267,-130,-1152,2806,373,57,0,0,0.6510079569201388,0.34915505874061054,-1.1102656105972817,0.7280350305352892,1.1083410788178578,0.8458805910825412,0.6414454132293926,0.9936274378560792,0.007167550531140518,0.3189019022751804,-0.0013243305220010232,0.05220894843184739,-0.019469201014484863,0.90746676854663,-0.055343088559811106,0.42356890669122044,0.03959054606196247,0.5175250296763337,0.04741731903478093,0.4576462108219779,-0.006551720061371905,0.5417714764016286,0,0,0,0
